Speaker,Speech,Type,Comments
"Chairman Dodd","The hearing will come to order. The Committee is very pleased this morning to welcome the Chairman of the Federal Reserve, Ben Bernanke. We thank you for being with us to present your outlook for the Nation's economy, the Fed's conduct of monetary policy, and the status of important consumer protection regulations that are under the Federal Reserve's jurisdiction. Mr. Chairman, we once again welcome you to the Senate Banking Committee. Before I begin my opening statement, I wanted to recognize several special guests we have with us here this morning, Dick, the members of the European Parliament's Committee on Economic and Monetary Affairs led by Chairwoman Pervenche Beres, and we thank you very much, Madam Chairwoman, for being here, and your colleagues as well. We are honored to have you here at the Senate Banking Committee and to have you participate. The Chairwoman mentioned to me that the last time you came here and visited us was at the last testimony of Chairman Greenspan. So this is kind of a beginning again, so we start with the first testimony here of Mr. Bernanke. So welcome and thank you for joining us here. This hearing is being conducted pursuant to the statute and according to practice. It is an occasion to consider not just monetary policy in a narrow or limit sense but also the overall health of our economy and what the Fed, as an agency, and we, as policymakers, should do to increase prosperity and opportunity in our country. The role of the Fed is critical not just to setting monetary policy but it also serves as a regulator for the safety and soundness of the largest lending institutions, and very significantly, as a regulator and enforcer of the laws passed by the Congress to protect consumers and ensure that they have an opportunity to participate and succeed in the American economy. Mr. Chairman, I know I do not need to tell you that the Fed stands at the center of some of the most critical economic and public policy matters of our time. In the 17 months as Fed Chairman, your steadiness at the helm of our Nation's monetary policy seems to have earned you the confidence of the markets, which is the initial step toward a successful tenure as Fed Chairman. And I congratulate you on that. The confidence has been reflected, in part, by some of the positive economic news that we have experienced, including an official unemployment rate that is low by historical standards, by gains in the stock market, and the economy's overall stability in the face of serious problems in both the housing and automotive sectors of our economy. Those positive factors aside, and notwithstanding the positive impact of your leadership, there are some facts that are cause for deep concern for many of us here about our Nation's economic future, in particular the future of tens of millions of hard-working Americans. Despite some increases in income, working families are facing some unprecedented economic burdens. Gas prices reached another record high of an average of almost $3.25 a gallon across the country this past Memorial Day weekend. Health care costs have increased by 25 percent over the last 5 years. And the cost of sending a young person to college has risen at more than double the rate of inflation over the past 20 years. And default and foreclosure rates, as you well know, for homeowners are an all-time high. Mr. Chairman, there is a persistent if not growing sense among many of our fellow countrymen that their future is less secure and less hopeful today than it has been and should be. It is in that respect that the Fed's role comes into play not just as a monetary policymaker but also as a safety and soundness regulator and as an agency charged with protecting consumers. The Fed can and, in my view, should take additional steps that can make a real difference in improving our overall economic growth as well as an opportunity for all Americans to contribute and to participate in the success and prosperity of the economy. In that regard, let me say that I am pleased that you, as chairman, have accepted the Fed's duty to act under the Home Ownership Equity Protection Act. I consider this a significant statement by you and I trust and expect that it will result in significant action by the Fed to ensure that every American who seeks to buy a home will receive a fair, reasonable, and responsible treatment by his or her lender. Similarly, with respect to credit cards, I commend the Fed for undertaking the effort to update Regulation Z which in my view is long overdue. It is vital that consumers have the clearest and most complete information possible about credit cards so they can make the most informed decision about how to use them. However, improved disclosure is not, in and of itself, sufficient to address abusive practices. I believe the Fed can and should play a more active role not just in improving disclosure for consumers but also in prohibiting policies and practices that are harmful to consumers. In my view, credit cards can and should be a tool for economic achievement and advancement rather than an instrument of perpetual indebtedness. Last, Mr. Chairman, let me raise the issue of Basel II, of the bank capital standards, with you. History has taught us that well-capitalized banks are in the best interest of our Nation when they are better positioned to weather unexpected economic shocks, thereby protecting American taxpayers from costly bank bailouts. And they enhance the competitiveness of U.S. banks by instilling confidence in the strength of these vital institutions. As Senator Shelby and I have written to you and your fellow banking regulators, the stakes are very high for our economy in this debate. We believe that it is imperative that the four regulatory agencies together agree upon the standards that will strike the vital balance between the remarkable safety and soundness of our federally insured lending institutions and their competitiveness in the global economy. Mr. Chairman, the challenges you face, of course, are daunting. I think I speak for all of our Committee Members here in saying that we are committed to seeing the Fed succeed at each of these three vital missions: As a center of monetary policy, a consumer protector, and a bank regulator. What is at stake here is not just the success of your agency, obviously, and your tenure as Fed Chairman, as important as those are, but rather the success of our entire economy and in particular for the tens of millions of Americans whose hard work is the foundation of our economy's success and who deserve every opportunity to maximize the fruits of their labor. With that, let me turn to my colleague from Alabama, the Ranking Member of the Committee, Senator Shelby.",Speech,
"Senator Shelby","Thank you, Chairman Dodd. Chairman Bernanke, we are pleased again to have you before this Committee. This hearing, as Senator Dodd has pointed out, provides the Congress a very important opportunity to have an open and detailed discussion about the Fed's monetary policy goals and their implementation. I also expect that Members of the Committee here, including myself, will take advantage of your appearance, Mr. Chairman, to raise some other issues that fall under the jurisdiction of the Federal Reserve. I would also like to join Senator Dodd in welcoming our colleagues from the European Union Parliament that are here today. I had a nice meeting with them yesterday and we look forward to these transatlantic visits. I think they are healthy. I trust that your visit here today will be enlightening and provide you with much to discuss with the European Central Bank. Chairman Bernanke, your testimony and report this morning note the continued healthy performance of the economy in the first half of 2000. Although real gross domestic product, GDP, increased 0.7 percent in the first quarter the consensus view among economists is that growth for the second quarter will show a rebound in the neighborhood of 2.5 percent. Along with continued GDP growth, we have seen positive news on the job front. Gains in the payroll employment average 140,000 jobs per month in the first half of 2007. We continue to enjoy low unemployment rate in this country, both historically and relative to other industrialized nations in the world. The global economy also continues to be strong with Canada, Europe, Japan, and the United Kingdom experiencing above trend growth rates in the first quarter. This is good news, I believe, for American businesses seeking to expand their exports around the world. In its statement following the June 28, 2007, meeting the FOMC suggested that while core inflation readings had moderated ``sustained moderation in inflation pressures has yet to be convincingly demonstrated.'' There is a lot in those words. Inflation risks, not slow growth, remains the predominant concern as we continue to see a rise in energy and food prices. I also share, Mr. Chairman, your view on the importance of low inflation in promoting growth, efficiency, and stability which in turn equal maximum sustainable employment. Chairman Bernanke, your statement also includes an extensive discussion of the Federal Reserve's recent activities relating to subprime mortgage lending, which is a concern to all of us. The recent sharp increases in subprime mortgage loan delinquencies are troubling. The rating agency's recent moves are also very interesting too. The initiatives that you highlight in your testimony are welcome. However, I am concerned that the weaknesses, Mr. Chairman, in the subprime market may have broader systemic consequences than we are seeing yet. We have been told that the problem is largely isolated and contained but I am concerned that that may not be the case. I will be particularly interested in hearing your views on the scope and depth of the problem and how the Federal Reserve will monitor and manage the situation hopefully going forward. We are pleased to have you with us this morning, as I said, and we look forward to the rest of the hearing and my colleagues testimony.",Statement,STATEMENT OF SENATOR RICHARD C. SHELBY
"Chairman Dodd","Thank you very much, Senator. Let me inform my colleagues that as soon as a quorum appears here, I am going to interrupt the hearing. I say that to you, Mr. Chairman, as well, respectfully. We have several nominees that are prepared to be confirmed by this body and I would like to be able to move on that the moment a quorum arrives here. So just to give you advance notice when that happens here, realizing people have other obligations and may be moving in and out here. So we will try to get that done. If for whatever reason we do not, then I will be asking all of you to join me after the first vote or during the first vote sometime around noon off the floor of the Senate to try to get these matters moved along so they can be considered by the full Senate before our August adjournment. With that, let me turn to Senator Brown.",Speech,
"Senator Brown","Thank you, Mr. Chairman. And Chairman Bernanke, thank you very much for joining us this morning. I am particularly pleased that your testimony describes Congress as prescient in the trend toward transparency. It is not often you see the words Congress and prescient in the same sentence. Thank you for that. Of course, you are referring to an action 30 years ago, but we will take what we can get. As you know, we need to encourage transparency in both central banking and in financial services and particularly in the mortgage business. I appreciate your devoting much of your testimony in the work of the Federal Reserve in promoting better disclosure for mortgage borrowers and hope you and your colleagues will approach this task with great urgency. As you know, the loans of close to 2 million subprime borrowers will reset in the next 2 years. Every day of inaction means another 2,000 to 3,000 mortgages will reset without sufficient protections. If they are lucky, many of these families will be able to take out another lousy mortgage. If they are unlucky, they may lose their life savings. The Federal Reserve must act and must act quickly both to mitigate the damage that has already been done and to prevent a continuation of the abusive practices and products that have characterized too much of the mortgage industry over the past few years. I understand why a lender needs to price for risk but I do not understand why the structure of mortgage products is so different in the prime and subprime markets. Most of the people in this room do not have a prepayment penalty on their mortgage. Most of us have our property taxes and our hazardous insurance escrowed. By contrast, the loans in the subprime sector, like the 228s, seem almost designed to deceive. They are sold to borrowers with teaser rates and with dangerous features and with the smooth pitch that there is no need to worry about the reset because good things might happen in your life, a better job, a better loan, even winning the lottery. But betting on the outcome is not a sound banking practice. It is possible that I will play like Grady Sizemore in next year's Congressional baseball game but the Indians would be well advised not to put him on waivers. Sadly, it is not very likely I will climb the fence to rob somebody of a home run next summer because Republicans just do not have that kind of power. You obviously need to take a broad view in your position. But the very dispersion of risk that makes the subprime problem less of a worry from an economic standpoint makes it a greater problem for homeowners trying to work out an unaffordable loan. We all know it makes economic sense for a lender to mitigate losses but just try getting the right person on the phone in a timely fashion, especially if the owner of the loan sits in Shanghai. One man's junk is another man's treasure. What may look like BBB debt to an investor on Wall Street is really the hopes and dreams of thousands of families in Slavic Village in Cleveland and across the country. Those hopes and dreams diminish with every day that we delay. So, I would urge you to take action quickly and comprehensively. You need to bring an end to the deceptive practices in the subprime sector, not just for banks and their affiliates but for all mortgage brokers and all types of lenders. Thank you. I look forward to your testimony.",Statement,STATEMENT OF SENATOR SHERROD BROWN
"Chairman Dodd","Thank you, Senator.",Speech,
"Senator Hagel","Mr. Chairman, welcome. I will withhold my comments until the question and answer period. I just want to say that we are glad you are here with us today. Thank you.",Statement,COMMENTS OF SENATOR CHUCK HAGEL
"Chairman Dodd","Thank you, Senator.",Speech,
"Senator Reed","I will not exercise such statesmanlike restraint. Thank you, Mr. Chairman. And thank you, Chairman Bernanke, for joining us today to discuss the state of monetary policy and its reflection on our economy. At the past eight meetings of the FOMC, the Fed has held the Federal Fund rates steady at 5.25 percent. However, significant turmoil in the housing market particularly related to subprime mortgages, a growing trade deficit, and a negative household savings rate continue to pose tremendous challenges to setting monetary policy. I know, Mr. Chairman, you have personally expressed concern about core inflation being higher than is desirable in the long run. But the risk of raising interest rates too high is that a weakening housing sector and rising oil prices may be taking their toll on consumers and businesses alike and slowing down the economy too much already. I look forward to your insights about the kind of policies that are likely to be effective in addressing the challenges we face in this economy and offering real opportunities for growth that provide widespread benefits to the American people. On a systemic level, the weakening housing sector and turmoil in the subprime mortgage market have placed pressure on both investors and borrowers. Bear Stearns has recently announced that two of its hedge funds are now worth nearly nothing after some of its investments in subprime mortgages went bad. Last week both Moody's and Standard & Poor's significantly downgraded ratings on hundreds of subprime related bonds. The ABX Index, which tracks the performance of various classes of subprime related bonds hit new lows yesterday. In the past few months portions of the index that tracked especially risky mortgage bonds with junk grade ratings have been falling. And this is now spread into the portion of the index that track bonds with ratings of AAA or AA. According to Merrill Lynch's latest fund manager survey which polled 186 fund managers controlling $618 billion in assets, 72 percent of managers said that credit or default risk was the biggest threat to financial market stability. I would appreciate hearing your thoughts on some of these events, particularly as they may pertain to the financial accelerator effect you spoke of in Georgia last month and the efforts of the Federal Reserve to monitor some of these risks. Finally, the Federal Reserve has the authority and responsibility to prohibit unfair and deception lending practices. As such, Mr. Chairman, I was pleased to hear that the Fed will likely propose additional rules under the Home Ownership and Equity Protection Act, HOEPA, to provide consumers with better protections through bans on some mortgage purchases. Additionally, I understand that the Fed will join other regulators in a pilot project to monitor the practices of nondepository subprime mortgage firms. I am interested in your perspective on what additional actions the Federal Reserve will be taking to meet the regulatory portion of its mandate. I look forward to your testimony, Mr. Chairman. Thank you.",Statement,STATEMENT OF SENATOR JACK REED
"Chairman Dodd","Thank you very much, Senator Reed.",Speech,
"Senator Menendez","Thank you, Mr. Chairman. Chairman Bernanke, it is always good to welcome a fellow New Jerseyan back to the Committee. I am glad to have the chance to have you before the Committee again this year. I think your presence here is especially important, not just because it gives Congress an opportunity to look critically at the economy to see what is working and what is not, but because it brings a discussion of the economy onto the front pages and into the homes of Americans across the country. I think Americans from all walks of life are clearly affected when the market has a dip, by external pressure on prices, by poor investment. For many, these factors are invisible. I welcome these discussions with you because you help make them much more tangible for average people across the country. And I assume you often ask yourself a question that I certainly do, and I believe all of us should be asking, and that is who is this economy working for? Who is this economy working for? Most middle-class Americans face rising food and energy prices as well as health care costs while median incomes for the last 5 years have remained stagnant. I think that there is a good part of the American middle class who does not think that this economy is working for them. Unfortunately, most are aware of changes in the economy when it affects them negatively. I would like to focus on a specific group of Americans who have been keenly aware of how the economy has not worked for them, those who dreamed of being homeowners but in the wake of the subprime tsunami have seen those dreams wash away in foreclosure and bankruptcy. More than one million Americans lost their homes last year and few have yet to recover. In fact, I would dare to argue that another storm is on its way as adjustable rate mortgages explode in coming months and force more homeowners into foreclosure. And so in my mind this is not just simply a time for suggestions, it is a time for solutions. The Federal Reserve has, and has always had, the tools to protect Americans from this storm. But as the warning signs were posted and as the foreclosures began we saw little to no action. Now I want to commend you for addressing this issue, especially on low document loans and underwriting to the full indexed rate. But I am still hoping for more substantive solutions that will protect the borrower. We are talking also about predatory lenders and we must take swift action. I do not believe this is one that the market is going to handle simply on its own. Congress and the Federal Reserve need to act and I look forward to discussing this more with you today. I welcome the focus you have recently had on discussing certain inequalities in our economy and I will look forward to your thoughts on these and other issues important to the economic prosperity of our Nation. Thank you, Mr. Chairman.",Statement,STATEMENT OF SENATOR ROBERT MENENDEZ
